finnish;english;russian;type;group
puisto, -n;park;парк;noun;Places
pukuhuone, -huoneen;changing room;раздевалка;noun;Places
puuttua (1);to be missing;не хватать;verb;Basics
pyytää (1), pyydän;to ask;просить;verb;Communication
pääkaupunki, -kaupungin;capital city;столица;noun;Places
päästä (3), pääsen;to get (to);добраться;verb;Actions & Movement
raide, raiteen;rail;рельс;noun;Transport
raja, -n;border;граница;noun;Places
rakennusmies, -miehen;construction worker;строитель;noun;Work & Study
rakentaa (1), rakennan;to build;строить;verb;Actions & Movement
ranta, rannan;beach;берег;noun;Nature
rautatieasema, -n;railway station;железнодорожный вокзал;noun;Transport
ravintolavaunu, -n;dining car;вагон-ресторан;noun;Transport
reppu, repun;backpack;рюкзак;noun;Media & Technology
saapua (1), saavun;to arrive;прибывать;verb;Actions & Movement
sadetakki, -takin;raincoat;плащ;noun;Basics
sanakirja, -n;dictionary;словарь;noun;Work & Study
seura, -n;company;компания;noun;People
tanssia (1), tanssin;to dance;танцевать;verb;Leisure
tavallisesti;usually;обычно;adverb;Time
tieto, tiedon;information;информация;noun;Communication
toimia (1), toimin;to function;работать;verb;Actions & Movement
torni, -n;tower;башня;noun;Places
tulla (3), tulen vastaan;to come to meet;выходить навстречу;verb phrase;Actions & Movement
täytyä (1), minun täytyy;must;быть должным;modal verb;Grammar
uimahalli, -n;swimming hall;бассейн;noun;Places
valmis, valmiin;ready;готовый;adjective;Basics
verrata (4), vertaan;to compare;сравнивать;verb;Actions & Movement
festarit;festivals;фестивали;noun (plural);Leisure
heittää (1), heitän;to give (a ride);подбросить на машине;verb;Transport
keikkatyö, -n;gig work;нерегулярная работа;noun;Work & Study
nätti, nätin;pretty;симпатичный;adjective;Feelings & Opinions
ratikka, ratikan;tram;трамвай;noun;Transport
shoppailla (3), shoppailen;to shop;ходить по магазинам;verb;Shopping & Services
synttärit;birthday;день рождения;noun (plural);People
aiheuttaa (1), aiheutan;to cause;вызывать;verb;Actions & Movement
aine, aineen;substance;вещество;noun;Basics
aivastaa (1), aivastan;to sneeze;чихать;verb;Health
ajankohta, -kohdan;time / moment;момент, время;noun;Time
ajanvaraus, -varauksen;appointment;запись (к врачу);noun;Health
aski, -n;pack (box);пачка;noun;Media & Technology
assistentti, assistentin;assistant;ассистент;noun;Work & Study
ehtiä (1), ehdin;to have time;успевать;verb;Time
erikseen;separately;отдельно;adverb;Basics
eteenpäin;forward;вперёд;adverb;Actions & Movement
flunssa, -n;flu;простуда;noun;Health
haava, -n;wound;рана;noun;Health
helpottaa (1), helpotan;to relieve;облегчать;verb;Health
henki, hengen;breath / spirit;дыхание;noun;Health
hernekeitto, -keiton;pea soup;гороховый суп;noun;Food & Drink
heti;immediately;сразу;adverb;Time
hiki, hien;sweat;пот;noun;Health
huoltaja, -n;guardian / caretaker;опекун;noun;People
huono olo;feeling unwell;плохое самочувствие;noun phrase;Health
hygienia, -n;hygiene;гигиена;noun;Health
hyönteinen, hyönteisen;insect;насекомое;noun;Nature
hätä, hädän;emergency;чрезвычайная ситуация;noun;Health
hätänumero, -n;emergency number;номер экстренных служб;noun;Health
hätätapaus, -tapauksen;emergency case;экстренный случай;noun;Health
ilmoittautua (1), ilmoittaudun;to register;записываться;verb;Communication
info, -n;information;информация;noun;Communication
IT-tuki, -tuen;IT support;ИТ-поддержка;noun;Shopping & Services
jaksaa (1), jaksan;to have energy;иметь силы;verb;Health
jalka, jalan;leg;нога;noun;Body
jano, -n;thirst;жажда;noun;Health
jatkua (1), se jatkuu;to continue;продолжаться;verb;Time
joka (päivä);every (day);каждый (день);determiner;Time
jonottaa (1), jonotan;to queue;стоять в очереди;verb;Actions & Movement
juotava, -n;drink;напиток;noun;Food & Drink
jää, -n;ice;лёд;noun;Food & Drink
jääpala, -n;ice cube;кубик льда;noun;Food & Drink
kaatua (1), kaadun;to fall;падать;verb;Actions & Movement
kalpea, -n;pale;бледный;adjective;Health
kiireellinen, kiireellisen;urgent;срочный;adjective;Basics
kipeä, -n;sore;больной;adjective;Health
kipu, kivun;pain;боль;noun;Health
kohta;soon;скоро;adverb;Time
kohta, kohdan;point;пункт;noun;Basics
korkea, -n;high;высокий;adjective;Basics
koskea (1), se koskee;to concern;касаться;verb;Basics
kova, -n;hard;твёрдый;adjective;Basics
kuljettaa (1), kuljetan;to transport;перевозить;verb;Actions & Movement
kurkku, kurkun;throat;горло;noun;Body
kurkkukipu, -kivun;sore throat;боль в горле;noun;Health
kuulla (3), kuulen;to hear;слышать;verb;Communication
kuume, kuumeen;fever;температура;noun;Health
kylki, kyljen;side;бок;noun;Body
kärsivällinen, kärsivällisen;patient;терпеливый;adjective;People
käsi, käden;hand;рука;noun;Body
käytävä, -n;corridor;коридор;noun;Places
laastari, -n;plaster;пластырь;noun;Health
lepo, levon;rest;отдых;noun;Health
levätä (4), lepään;to rest;отдыхать;verb;Health
lihas, lihaksen;muscle;мышца;noun;Body
liittyä (1), liittyy + mihin;to relate;относиться;verb;Basics
lisätieto, -tiedot;additional information;дополнительная информация;noun (plural);Communication
lounasaika, -ajan;lunch time;время обеда;noun;Time
lumityöt;snow shoveling;уборка снега;noun (plural);Actions & Movement
luvaton, luvattoman;unauthorized;неразрешённый;adjective;Basics
lyhyesti;briefly;кратко;adverb;Communication
lähete, lähetteen;referral;направление;noun;Health
lääke, lääkkeen;medicine;лекарство;noun;Health
lääkitys, lääkityksen;medication;лечение;noun;Health
lääkäri, -n;doctor;врач;noun;People
maata (4), makaan;to lie down;лежать;verb;Actions & Movement
maha, -n / vatsa, -n;stomach;живот;noun;Body
mukaan, jonkin mukaan;according to;согласно;postposition;Grammar
myöhemmin;later;позже;adverb;Time
nenä, -n;nose;нос;noun;Body
neuvo, -n;advice;совет;noun;Communication
neuvoa (1), neuvon;to advise;советовать;verb;Communication
niistää (1), niistän;to blow (nose);сморкаться;verb;Health
nilkka, nilkan;ankle;лодыжка;noun;Body
niska, -n;neck;шея;noun;Body
nopeasti;quickly;быстро;adverb;Basics
normaali, -n;normal;нормальный;adjective;Basics
nostaa (1), nostan;to lift;поднимать;verb;Actions & Movement
nuha, -n;runny nose;насморк;noun;Health
nuori, nuoren;young;молодой;adjective;People
nälkä, nälän;hunger;голод;noun;Health
närästys, närästyksen;heartburn;изжога;noun;Health
ohi;past;мимо;adverb;Actions & Movement
ohje, ohjeen;instruction;инструкция;noun;Communication
oire, oireen;symptom;симптом;noun;Health
oksennus, oksennuksen;vomit;рвота;noun;Health
oksentaa (1), minua oksentaa;to vomit;тошнить;verb;Health
olo, -n;feeling;самочувствие;noun;Health
ottaa (1), otan vastaan;to receive;принимать;verb phrase;Actions & Movement
pakastepussi, -n;freezer bag;пакет для заморозки;noun;Media & Technology
palvelu, -n;service;услуга;noun;Shopping & Services
peruuttaa (1), peruutan;to cancel;отменять;verb;Shopping & Services
peruutusaika, -ajan;cancellation time;срок отмены;noun;Time
pistää (1), pistän;to sting;колоть;verb;Health
poissa;absent;отсутствующий;adjective/adverb;Basics
poissaolo;absence;отсутствие;noun;Basics
polvi, polven;knee;колено;noun;Body
portaat;stairs;лестница;noun (plural);Places
potilas, potilaan;patient;пациент;noun;People
puhdistaa (1), puhdistan;to clean;очищать;verb;Actions & Movement
pää, -n;head;голова;noun;Body
tunnin päästä;after 1 hour;через (час);postposition/phrase;Time
rakennus, rakennuksen;building;здание;noun;Places
rasvainen, rasvaisen;greasy;жирный;adjective;Food & Drink
resepti, -n;prescription / recipe;рецепт;noun;Health
riittävästi;enough;достаточно;adverb;Basics
ripuli, -n;diarrhea;диарея;noun;Health
ruumiinosat;body parts;части тела;noun (plural);Body
saippua, -n;soap;мыло;noun;Media & Technology
sairas, sairaan;sick;больной;adjective;Health
sairastaa (1), sairastan + P;to be ill;болеть;verb;Health
sairaus, sairauden;illness;болезнь;noun;Health
sairausloma, -n;sick leave;больничный;noun;Work & Study
mihin + sattua (1);where it hurts;где болит;verb phrase;Health
selkä, selän;back;спина;noun;Body
selvitys, selvityksen;explanation;разъяснение;noun;Communication
selvä;clear;ясно;adjective;Basics
seuraavaksi;next;дальше;adverb;Time
sierain, sieraimen;nostril;ноздря;noun;Body
sisään;inside;внутрь;adverb;Actions & Movement
sormi, sormen;finger;палец;noun;Body
surullinen, surullisen;sad;грустный;adjective;Feelings & Opinions
suu, -n;mouth;рот;noun;Body
säilyttää (1), säilytän;to store;хранить;verb;Actions & Movement
särky, säryn;ache;боль;noun;Health
särkylääke, -lääkkeen;painkiller;обезболивающее;noun;Health
tabletti, tabletin;tablet;таблетка;noun;Health
takki, -n;jacket;куртка;noun;Basics
tarkastaa (1), tarkastan;to check;проверять;verb;Actions & Movement
tarkistaa (1), tarkistan;to verify;уточнять;verb;Actions & Movement
tarttua (1) + mihin, tartun;to grab;хватать;verb;Actions & Movement
terveydenhoitaja, -n;nurse;медсестра;noun;People
terveys, terveyden;health;здоровье;noun;Health
terveysasema, -n;health station;поликлиника;noun;Health
terveyskeskus, -keskuksen;health center;медцентр;noun;Health
todistus, todistuksen;certificate;справка;noun;Work & Study
toimisto, -n;office;офис;noun;Places
torjua (1), torjun;to prevent;предотвращать;verb;Actions & Movement
tulehdus, tulehduksen;inflammation;воспаление;noun;Health
tulinen, tulisen;spicy;острый;adjective;Food & Drink
tunnustella (3) + P, tunnustelen;to feel;прощупывать;verb;Health
tuntua (1) + miltä, se tuntuu;to feel;ощущаться;verb;Communication
turvoksissa;swollen;опухший;adjective (predicative);Health
tutkia (1), tutkin;to examine;обследовать;verb;Health
työpaikka, -paikan;workplace;место работы;noun;Work & Study
tärkeä, -n;important;важный;adjective;Basics
G + ulkopuolella;outside;вне;postposition;Grammar
umpisuoli, -suolen;appendix;аппендикс;noun;Body
vaara, -n;danger;опасность;noun;Basics
vaikea, -n;difficult;трудный;adjective;Basics
vaiva, -n;trouble;проблема;noun;Basics
valitettavasti;unfortunately;к сожалению;adverb;Communication
vapaa, -n;free;свободный;adjective;Basics
varmaan;probably;вероятно;adverb;Basics
vastaanottohuone, -huoneen;examination room;кабинет приёма;noun;Health
vatsa, -n / maha, -n;stomach;живот;noun;Body
vatsatauti, -taudin;stomach flu;кишечный грипп;noun;Health
veri, veren;blood;кровь;noun;Body
verikoe, -kokeen;blood test;анализ крови;noun;Health
vihainen, vihaisen;angry;злой;adjective;Feelings & Opinions
voide, voiteen;ointment;мазь;noun;Health
vuotaa (1), vuodan;to leak / bleed;течь;verb;Health
väsyttää (1), minua väsyttää;to feel tired;чувствовать усталость;verb (impersonal);Health
yleinen, yleisen;general / common;общий;adjective;Basics
yskä, -n;cough;кашель;noun;Health
hössöttää;to fuss;суетиться;verb;Actions & Movement
katotaas;let’s see;давай посмотрим;interjection;Communication
kauhean kylmä;extremely cold;очень холодно;adjective phrase;Nature
labra;laboratory;лаборатория;noun (colloquial);Health
niinku;like;типа;discourse particle;Grammar
ootko = oletko;are you;ты …?;verb (colloquial);Grammar
aina;always;всегда;adverb;Time
alas;down;вниз;adverb;Actions & Movement
arkisin;on weekdays;по будням;adverb;Time
arvata (4), arvaan;to guess;угадывать;verb;Communication
asua (1), asun vuokralla;to live (renting);жить (в аренде);verb;Home
asukas, asukkaan;resident;житель;noun;People
avaus, avauksen;opening;открытие;noun;Leisure
ueläin, eläimen;animal;животное;noun;Nature
elää (1), elän;to live;жить;verb;Basics
epärehellinen, -rehellisen;dishonest;нечестный;adjective;People
hakemus, hakemuksen;application;заявление;noun;Work & Study
hengittää (1), hengitän;to breathe;дышать;verb;Health
hermostua (1), hermostun;to get nervous;нервничать;verb;Feelings & Opinions
hermostunut, hermostuneen;nervous;нервный;adjective;Feelings & Opinions
hiljainen, hiljaisen;quiet;тихий;adjective;Basics
huolestunut, huolestuneen;worried;обеспокоенный;adjective;Feelings & Opinions
huoltaa (1), huollan;to service;обслуживать;verb;Actions & Movement
huoltomies, -miehen;maintenance man;мастер;noun;Work & Study
huoltoyhtiö, -n;maintenance company;обслуживающая компания;noun;Shopping & Services
huumorintajuinen, -tajuisen;humorous;с чувством юмора;adjective;People
hymyillä (3), hymyilen;to smile;улыбаться;verb;Feelings & Opinions
hyvännäköinen, -näköisen;good-looking;симпатичный;adjective;People
hätä, hädän;emergency;чрезвычайная ситуация;noun;Health
ilmoitus, ilmoituksen;notice;объявление;noun;Communication
itkeä (1), itken;to cry;плакать;verb;Feelings & Opinions
jalkapallo, -pallon;football;футбол;noun;Leisure
jokin;something;что-то;pronoun;Grammar
kadonnut, kadonneen;lost;потерянный;adjective/participle;Basics
kantaa (1), kannan;to carry;нести;verb;Actions & Movement
kauan;how long;как долго;question adverb;Time
kesämökki, -mökin;summer cottage;дача;noun;Home
kipsi, -n;cast (medical);гипс;noun;Health
kirjallinen, kirjallisen;written;письменный;adjective;Communication
kohtelias, kohteliaan;polite;вежливый;adjective;People
kokous, kokouksen;meeting;собрание;noun;Work & Study
komea, -n;handsome;красивый;adjective;People
G + kuluttua;after;через;postposition;Time
käteinen, käteisen;cash;наличные;noun;Shopping & Services
laiha, -n;thin;худой;adjective;People
lasku, -n;bill;счёт;noun;Shopping & Services
laskutus, laskutuksen;billing;выставление счетов;noun;Shopping & Services
lihava, -n;fat;полный;adjective;People
lisämaksu, -n;extra charge;доплата;noun;Shopping & Services
lomake, lomakkeen;form;бланк;noun;Work & Study
lopettaa (1), lopetan;to stop;прекращать;verb;Actions & Movement
luokse;to (someone);к;postposition;Grammar
luonne, luonteen;character;характер;noun;People
luottaa (1), luotan + mihin;to trust;доверять;verb;Feelings & Opinions
luovuttaa (1), luovutan;to give up / hand over;передавать;verb;Actions & Movement
lupa, luvan;permission;разрешение;noun;Work & Study
maksu, -n;payment;платёж;noun;Shopping & Services
melkein;almost;почти;adverb;Basics
mennä (3) hyvin;to go well;идти хорошо;verb phrase;Basics
mihin;where (to);куда;question word;Grammar
minuutti, minuutin;minute;минута;noun;Time
näyttelijä, -n;actor;актёр;noun;People
ohut, ohuen;thin;тонкий;adjective;People
oikein;correctly / really;правильно / очень;adverb;Basics
olla (3) pahoillaan, olen pahoillani;to be sorry;сожалеть;verb phrase;Feelings & Opinions
olla (3) rikki;to be broken;быть сломанным;verb phrase;Basics
oppia (1), opin;to learn;учиться;verb;Work & Study
ovikello, -n;doorbell;дверной звонок;noun;Home
pakastin, pakastimen;freezer;морозильник;noun;Home
paksu, -n;thick;толстый;adjective;People
parempi;better;лучше;comparative adjective;Basics
pesutupa, -tuvan;laundry room;прачечная;noun;Home
pian;soon;скоро;adverb;Time
piharakennus, -rakennuksen;outbuilding;хозяйственная постройка;noun;Home
pihatyöt;yard work;работа во дворе;noun (plural);Actions & Movement
pitää (1), pidän + mistä;to like;любить, нравиться;verb;Feelings & Opinions
poliisiasema, -aseman;police station;полицейский участок;noun;Places
puhelias, puheliaan;talkative;разговорчивый;adjective;People
punatukkainen, -tukkaisen;red-haired;рыжеволосый;adjective;People
pyytää (1), pyydän anteeksi + lta;to apologize;извиняться;verb;Communication
päivystys, päivystyksen;emergency duty;дежурство;noun;Health
rappukäytävä, -n;stairwell;подъезд;noun;Home
raskas, raskaan;heavy;тяжёлый;adjective;Basics
rauhallinen, rauhallisen;calm;спокойный;adjective;People
rehellinen, rehellisen;honest;честный;adjective;People
remontti, remontin;renovation;ремонт;noun;Home
sisällä;inside;внутри;adverb;Places
G + takia;because of;из-за;postposition;Grammar
taloyhtiö, -n;housing company;ТСЖ / жилищная компания;noun;Home
tarjota (4), tarjoan;to offer;предлагать;verb;Communication
tekstiviesti, -n;text message;СМС;noun;Communication
televisio, -n;television;телевизор;noun;Media & Technology
toivoa (1), toivon;to hope;надеяться;verb;Feelings & Opinions
toivottavasti;hopefully;надеюсь;adverb;Communication
tunti, tunnin;hour;час;noun;Time
tylsä, -n;boring;скучный;adjective;Feelings & Opinions
työharjoittelu, -n;internship;практика;noun;Work & Study
työkalu, -kalun;tool;инструмент;noun;Media & Technology
tähti, tähden;star;звезда;noun;Nature
ujo, -n;shy;застенчивый;adjective;People
unelma, -n;dream;мечта;noun;Feelings & Opinions
unohtaa (1), unohdan;to forget;забывать;verb;Communication
vaarallinen, vaarallisen;dangerous;опасный;adjective;Basics
vahva, -n;strong;сильный;adjective;Basics
vakava, -n;serious;серьёзный;adjective;Basics
valo, -n;light;свет;noun;Basics
varma, -n;sure;уверенный;adjective;Feelings & Opinions
vasta;just / only;только что;adverb;Time
vierekkäin;next to each other;рядом;adverb;Places
viisas, viisaan;wise;мудрый;adjective;People
vika, vian;fault;неисправность;noun;Basics
vikailmoitus, -ilmoituksen;fault report;заявка о неисправности;noun;Home
vuokralainen, vuokralaisen;tenant;арендатор;noun;People
yhtiö, -n;company;компания;noun;Work & Study
ylös;up;вверх;adverb;Actions & Movement
yrittää (1), yritän;to try;пытаться;verb;Actions & Movement
ystävällinen, ystävällisen;friendly;дружелюбный;adjective;People
ähistä (3), ähisen;to pant;пыхтеть;verb;Actions & Movement
älä;don’t;не (повелительное);imperative particle;Grammar
muskari;music play school;музыкальные занятия;noun (colloquial);Leisure
nettivisu;website;сайт;noun (colloquial);Media & Technology
soitetaan;let’s call;позвоним;verb (passive/colloquial);Communication
tuu = tulee;comes;придёт;verb (colloquial);Grammar
aikuiskoulutus, -koulutuksen;adult education;обучение взрослых;noun;Work & Study
ajokortti, -kortin;driver’s license;водительские права;noun;Work & Study
ala, -n;field / area;область;noun;Work & Study
alakoulu, -n;primary school;начальная школа;noun;Work & Study
alempi, alemman;lower;ниже;comparative adjective;Basics
alku, alun;beginning;начало;noun;Time
ammatti, ammatin;profession;профессия;noun;Work & Study
ammattikorkeakoulu, -n;university of applied sciences;прикладной университет;noun;Work & Study
ammattikoulu, -n;vocational school;профессиональное училище;noun;Work & Study
apuraha, -n;scholarship;стипендия, грант;noun;Shopping & Services
arki, arjen;everyday life;повседневная жизнь;noun;Time
asiakaspalvelu, -n;customer service;обслуживание клиентов;noun;Shopping & Services
eläke, eläkkeen;pension;пенсия;noun;Shopping & Services
elämänkumppani, -n;life partner;партнёр по жизни;noun;People
erota (4), eroan + mistä;to resign / separate;увольняться / разводиться;verb;Work & Study
esikoulu, -n;preschool;подготовительная школа;noun;Work & Study
esimies, -miehen;supervisor;начальник;noun;Work & Study
firma, -n;company;фирма;noun;Work & Study
haaveilla (3), haaveilen + mistä;to dream of;мечтать о;verb;Feelings & Opinions
haku, haun;application;подача заявления;noun;Work & Study
hankala, -n;difficult;сложный;adjective;Basics
harmi, -n;pity;жаль;noun/interjection;Feelings & Opinions
haudata (4), hautaan;to bury;хоронить;verb;Actions & Movement
hautajaismaa, -n;cemetery;кладбище;noun;Places
hieno, -n;great / fine;отличный;adjective;Feelings & Opinions
hotelli, -n;hotel;отель;noun;Places
huono, -n;bad;плохой;adjective;Basics
ihailla (3), ihailen;to admire;восхищаться;verb;Feelings & Opinions
ilmestyä (1), ilmestyn;to appear;появляться;verb;Actions & Movement
imuroida (2), imuroin;to vacuum;пылесосить;verb;Home
jäädä (2), jään + mihin;to stay;оставаться;verb;Actions & Movement
katto, katon;roof;крыша;noun;Home
kausi, kauden;season;сезон;noun;Time
kausityö, -n;seasonal work;сезонная работа;noun;Work & Study
kertomus, kertomuksen;story;рассказ;noun;Communication
kesken;unfinished;незаконченный;adjective/adverb;Basics
keski-ikäinen, -ikäisen;middle-aged;средних лет;adjective;People
kesätyö, -n;summer job;летняя работа;noun;Work & Study
kielitaito, -taidon;language skills;знание языков;noun;Work & Study
kiinnostunut, kiinnostuneen + mistä;interested;заинтересованный;adjective/participle;Feelings & Opinions
korkeakoulu, -n;higher education institution;вуз;noun;Work & Study
koulutus, koulutuksen;education;образование;noun;Work & Study
kuljettaja, -n;driver;водитель;noun;Work & Study
kuvitus, kuvituksen;illustration;иллюстрация;noun;Media & Technology
kylä, -n;village;деревня;noun;Places
kypärä, -n;helmet;шлем;noun;Media & Technology
kääntää (1), käännän;to turn / translate;поворачивать / переводить;verb;Actions & Movement
lakikirja, -n;law book;сборник законов;noun;Work & Study
leikata (4), leikkaan;to cut;резать;verb;Actions & Movement
liiketalous, -talouden;business economics;экономика бизнеса;noun;Work & Study
linja-auto, -n;bus;автобус;noun;Transport
liukas, liukkaan;slippery;скользкий;adjective;Basics
lukio, -n;upper secondary school;лицей;noun;Work & Study
lähihoitaja, -n;practical nurse;младший медработник;noun;Work & Study
lääketiede, -tieteen;medicine;медицина;noun;Work & Study
maailmansota, -sodan;world war;мировая война;noun;Basics
maalata (4), maalaan;to paint;рисовать;verb;Leisure
maalla;in the countryside;в деревне;adverb;Places
mahdollisuus, mahdollisuuden;possibility;возможность;noun;Basics
malli, -n;model;модель;noun;Media & Technology
merkki, merkin;sign / brand;знак, марка;noun;Media & Technology
metalli, -n;metal;металл;noun;Media & Technology
mittari, -n;meter;измеритель;noun;Media & Technology
monta;many;много;quantifier;Basics
moottori, -n;engine;двигатель;noun;Media & Technology
mopo, -n;moped;мопед;noun;Transport
muistiinpano, -n;note;заметка;noun;Work & Study
myrsky, -n;storm;буря;noun;Nature
myöhästyä (1), myöhästyn;to be late;опаздывать;verb;Time
määräaikainen, -aikaisen;temporary;временный;adjective;Work & Study
nykyinen, nykyisen;current;текущий;adjective;Time
onneksi;luckily;к счастью;adverb;Feelings & Opinions
onnettomuus, onnettomuuden;accident;авария;noun;Health
opiskelupaikka, -paikan;study place;место учёбы;noun;Work & Study
orkesteri, -n;orchestra;оркестр;noun;Leisure
osa-aikainen, -aikaisen;part-time;неполный рабочий день;adjective;Work & Study
peruskoulu, -n;comprehensive school;общеобразовательная школа;noun;Work & Study
piirustus, piirustuksen;drawing;рисунок;noun;Leisure
poliisi, -n;police;полиция;noun;Work & Study
projekti, -n;project;проект;noun;Work & Study
pysyä (1), pysyn;to stay;оставаться;verb;Actions & Movement
pysähtyä (1), pysähdyn;to stop;останавливаться;verb;Actions & Movement
pyyhkiä (1), pyyhin;to wipe;вытирать;verb;Actions & Movement
rakastua (1), rakastun + mihin;to fall in love;влюбляться;verb;Feelings & Opinions
ratti, ratin;steering wheel;руль;noun;Transport
riittää (1), se riittää;to be enough;хватать;verb;Basics
sairaala, -n;hospital;больница;noun;Health
samanlainen, samanlaisen;similar;похожий;adjective;Basics
siistiä, -n;tidy;аккуратный;adjective;Basics
sopimus, sopimuksen;contract;договор;noun;Work & Study
sota, sodan;war;война;noun;Basics
suoja, -n;protection;защита;noun;Basics
suosittu, suositun;popular;популярный;adjective;People
syntyä (1), synnyn;to be born;рождаться;verb;People
taiteilija, -n;artist;художник;noun;People
tarina, -n;story;история;noun;Communication
tarjoilija, -n;waiter;официант;noun;Work & Study
tarkka, tarkan;precise;точный;adjective;Basics
tarkoittaa (1), tarkoitan + P;to mean;означать;verb;Communication
tehdas, tehtaan;factory;завод;noun;Work & Study
tekniikka, tekniikan;technology;техника;noun;Work & Study
telakka, telakan;dockyard;верфь;noun;Work & Study
tietokoneohjelma, -n;computer program;компьютерная программа;noun;Work & Study
toimeentulo, -n;livelihood;средства к существованию;noun;Shopping & Services
toiminta, toiminnan;activity;деятельность;noun;Work & Study
toissapäivänä;the day before yesterday;позавчера;adverb;Time
tradenomi, -n;business graduate;бакалавр бизнеса;noun;Work & Study
tulipalo, -n;fire;пожар;noun;Health
turva, -n;safety;безопасность;noun;Basics
tutkinto, tutkinnon;degree;диплом;noun;Work & Study
työmaa, -n;construction site;стройка;noun;Work & Study
työskennellä (3), työskentelen;to work;работать;verb;Work & Study
työtön, työttömän;unemployed;безработный;adjective;Work & Study
työvuoro, -n;work shift;рабочая смена;noun;Work & Study
ulkomailla;abroad;за границей;adverb;Places
ura, -n;career;карьера;noun;Work & Study
vaihde, vaihteen;gear;передача;noun;Transport
vakituinen, vakituisen;permanent;постоянный;adjective;Work & Study
valmistua (1), valmistun + miksi;to graduate;оканчивать учебу;verb;Work & Study
vanhus, vanhuksen;elderly person;пожилой человек;noun;People
vapaa-aika, -ajan;free time;свободное время;noun;Time
vastuu, -n;responsibility;ответственность;noun;Work & Study
verkkokurssi, -n;online course;онлайн-курс;noun;Work & Study
verkkosivut;website;веб-сайт;noun (plural);Media & Technology
viettaa (1), vietän;to spend (time);проводить (время);verb;Time
viihtyä (1), viihdyn;to enjoy oneself;чувствовать себя комфортно;verb;Feelings & Opinions
virhe, virheen;mistake;ошибка;noun;Basics
vuorotyö, -n;shift work;сменная работа;noun;Work & Study
värjätä (4), värjään;to dye;красить;verb;Actions & Movement
yksinäinen, yksinäisen;lonely;одинокий;adjective;Feelings & Opinions
ylempi, ylemmän;higher;выше;adjective;Basics
yliopisto, -opiston;university;университет;noun;Work & Study
ylioppilas, -oppilaan;upper secondary graduate;выпускник лицея;noun;People
yllättäen;unexpectedly;неожиданно;adverb;Time
yläkoulu, -n;lower secondary school;средняя школа;noun;Work & Study
yritys, yrityksen;company;предприятие;noun;Work & Study
äänetön, äänettömän;silent;бесшумный;adjective;Basics
ääni, äänen;voice;голос;noun;Communication
dekkari;crime novel;детектив;noun;Leisure
hiljaa;slowly;медленно;adverb;Basics
hirveä, -n;awful;ужасный;adjective;Feelings & Opinions
kuski, -n;driver;водитель;noun;People
telkkari, -n;television;телевизор;noun;Media & Technology
aluksi;at first;сначала;adverb;Time
alumiininen, alumiinisen;aluminum;алюминиевый;adjective;Media & Technology
astia, -n;container / dish;посуда, ёмкость;noun;Home
bongata (4), bongaan;to spot;замечать;verb;Actions & Movement
esitellä (3), esittelen;to present;представлять;verb;Communication
grillata (4), grillaan;to grill;жарить на гриле;verb;Food & Drink
hakata (4), hakkaan;to chop / beat;рубить / бить;verb;Actions & Movement
hiiri, hiiren;mouse;мышь;noun;Nature
hippa, hipan;tag (game);салочки;noun;Leisure
hitaasti;slowly;медленно;adverb;Basics
hyttynen, hyttysen;mosquito;комар;noun;Nature
juokseva, -n;running (water);текущий;adjective;Basics
jännittää (1), minua jännittää;to feel nervous;волноваться;verb;Feelings & Opinions
jättää (1), jätän;to leave;оставлять;verb;Actions & Movement
kaataa (1), kaadan;to pour / knock down;лить / валить;verb;Actions & Movement
karhu, -n;bear;медведь;noun;Nature
kasvaa (1), kasvan;to grow;расти;verb;Nature
kasvi, -n;plant;растение;noun;Nature
kasvisruoka, -ruoan;vegetarian food;вегетарианская еда;noun;Food & Drink
kertoa (1), kerron;to tell;рассказывать;verb;Communication
kerätä (4), kerään;to collect;собирать;verb;Actions & Movement
kestää (1), se kestää;to last;длиться;verb;Time
kesämökki, -mökin;summer cottage;дача;noun;Places
kieltää (1), kiellän;to forbid;запрещать;verb;Communication
kiikarit;binoculars;бинокль;noun (plural);Media & Technology
kivi, kiven;stone;камень;noun;Nature
kone, koneen;machine;машина;noun;Media & Technology
koskaan, ei koskaan;never;никогда;adverb;Time
Kreikka, Kreikan;Greece;Греция;proper noun;Places
kunto, kunnon;condition;форма, состояние;noun;Health
laskea (1), lasken;to count / lower;считать / опускать;verb;Actions & Movement
leikki, leikin;game / play;игра;noun;Leisure
liikkua (1), liikun;to move;двигаться;verb;Actions & Movement
lintu, linnun;bird;птица;noun;Nature
lisää;more;ещё;adverb;Basics
luku, luvun;number;число;noun;Basics
luonto, luonnon;nature;природа;noun;Nature
maisema, -n;landscape;пейзаж;noun;Nature
maja, -n;hut;шалаш;noun;Places
marja, -n;berry;ягода;noun;Food & Drink
meri, meren;sea;море;noun;Nature
metsä, -n;forest;лес;noun;Nature
metsästää (1), metsästän;to hunt;охотиться;verb;Nature
mielestä;in one’s opinion;по мнению;adverb;Communication
mustikka, mustikan;blueberry;черника;noun;Food & Drink
myöntää (1), myönnän;to admit;признавать;verb;Communication
märkä, märän;wet;мокрый;adjective;Basics
mökki, mökin;cottage;домик;noun;Places
naula, -n;nail;гвоздь;noun;Media & Technology
nykyään;nowadays;в наше время;adverb;Time
oikeastaan;actually;на самом деле;adverb;Basics
